funs,pkgs,in_multiple_pkgs,contents,urls
include_graphics,knitr,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
include_graphics,knitr,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
library,base,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
library,base,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
read_tsv,readr,TRUE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
c,base,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
filter,dplyr,TRUE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
c,base,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
arrange,dplyr,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
mutate,dplyr,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
ifelse,base,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
grepl,base,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
paste0,base,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
cat,base,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
cat,base,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
paste0,base,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
cat,base,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
session_info,sessioninfo,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
c,base,FALSE,intro.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/intro.Rmd
include_graphics,knitr,FALSE,whole-game.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/whole-game.Rmd
library,base,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
filter,dplyr,TRUE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
scale_x_continuous,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
c,base,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
scale_y_continuous,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
c,base,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
theme,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
tibble,dplyr,TRUE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
c,base,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_text,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
scale_shape_identity,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
expand_limits,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
scale_x_continuous,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
scale_y_continuous,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
c,base,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
theme_minimal,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
theme,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
facet_grid,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
facet_grid,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
facet_grid,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
facet_grid,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
facet_grid,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_smooth,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_smooth,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_smooth,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_smooth,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_smooth,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_smooth,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_smooth,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_smooth,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_smooth,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
filter,dplyr,TRUE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_smooth,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_smooth,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_smooth,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_smooth,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_smooth,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_bar,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
include_graphics,knitr,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
stat_count,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
tribble,dplyr,TRUE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_bar,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_bar,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
after_stat,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
stat_summary,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_bar,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_bar,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_bar,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_bar,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_bar,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_bar,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_bar,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_point,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_boxplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_boxplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
coord_flip,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_boxplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
map_data,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
ggplot,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
aes,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
geom_polygon,ggplot,FALSE,data-visualize.Rmd,https://raw.githubusercontent.com/hadley/r4ds/main/data-visualize.Rmd
